Playlist Name,Track Name,Location
Three,01 Right There,file://localhost/Users/ale/Projects/AIDJ/NewAll/01%20Right%20There.mp3
Three,1st Premonition - DBX Detroit Remix,file://localhost/Users/ale/Projects/AIDJ/NewAll/1st%20Premonition%20-%20DBX%20Detroit%20Remix.mp3
Three,04_PN,file://localhost/Users/ale/Projects/AIDJ/NewAll/04_PN.mp3
Three,04,file://localhost/Users/ale/Projects/AIDJ/NewAll/04.mp3
Three,12.LIM 4L,file://localhost/Users/ale/Projects/AIDJ/NewAll/12.LIM%204L.mp3
Three,27th District - Matrixxman Remix,file://localhost/Users/ale/Projects/AIDJ/NewAll/27th%20District%20-%20Matrixxman%20Remix.mp3
Three,30 Seconds,file://localhost/Users/ale/Projects/AIDJ/NewAll/30%20Seconds.mp3
Three,34 Choices Of Gender - Len Faki Hardspace Mix,file://localhost/Users/ale/Projects/AIDJ/NewAll/34%20Choices%20Of%20Gender%20-%20Len%20Faki%20Hardspace%20Mix.mp3
Three,48 Hour Crack In Your Bass,file://localhost/Users/ale/Projects/AIDJ/NewAll/48%20Hour%20Crack%20In%20Your%20Bass.mp3
Three,100% Juice,file://localhost/Users/ale/Projects/AIDJ/NewAll/100%25%20Juice.mp3
Three,120 Miles An Hour,file://localhost/Users/ale/Projects/AIDJ/NewAll/120%20Miles%20An%20Hour.mp3
Three,177Z - Tadeo Remix,file://localhost/Users/ale/Projects/AIDJ/NewAll/177Z%20-%20Tadeo%20Remix.mp3
Three,404,file://localhost/Users/ale/Projects/AIDJ/NewAll/404.mp3
Three,1000 Tones,file://localhost/Users/ale/Projects/AIDJ/NewAll/1000%20Tones.mp3
Three,1271,file://localhost/Users/ale/Projects/AIDJ/NewAll/1271.mp3
Three,1996,file://localhost/Users/ale/Projects/AIDJ/NewAll/1996.mp3
Three,7683-7316,file://localhost/Users/ale/Projects/AIDJ/NewAll/7683-7316.mp3
Three,20002a,file://localhost/Users/ale/Projects/AIDJ/NewAll/20002a.mp3
Three,30003b,file://localhost/Users/ale/Projects/AIDJ/NewAll/30003b.mp3
Three,60006A,file://localhost/Users/ale/Projects/AIDJ/NewAll/60006A.mp3
Three,200704,file://localhost/Users/ale/Projects/AIDJ/NewAll/200704.mp3
Three,210407.1,file://localhost/Users/ale/Projects/AIDJ/NewAll/210407.1.mp3
Three,210407.2,file://localhost/Users/ale/Projects/AIDJ/NewAll/210407.2.mp3
Three,210409.1,file://localhost/Users/ale/Projects/AIDJ/NewAll/210409.1.mp3
Three,A Day in the Life 01,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Day%20in%20the%20Life%2001.mp3
Three,A Day in the Life 03,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Day%20in%20the%20Life%2003.mp3
Three,A Field,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Field.mp3
Three,A Friend Of A Friend,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Friend%20Of%20A%20Friend.mp3
Three,A Plus Tard,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Plus%20Tard.mp3
Three,A Walk in the Park,file://localhost/Users/ale/Projects/AIDJ/NewAll/A%20Walk%20in%20the%20Park.mp3
Three,A1. Sons Of Hidden - Templo Del Sol,file://localhost/Users/ale/Projects/AIDJ/NewAll/A1.%20Sons%20Of%20Hidden%20-%20Templo%20Del%20Sol.mp3
Three,ABL1,file://localhost/Users/ale/Projects/AIDJ/NewAll/ABL1.mp3
Three,Abonus,file://localhost/Users/ale/Projects/AIDJ/NewAll/Abonus.mp3
Three,Absolute Warper - Radio Edit,file://localhost/Users/ale/Projects/AIDJ/NewAll/Absolute%20Warper%20-%20Radio%20Edit.mp3
Three,Achromasie,file://localhost/Users/ale/Projects/AIDJ/NewAll/Achromasie.mp3
Three,Acid Groove,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acid%20Groove.mp3
Three,Acid In My Fridge - Visionquest Remix,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acid%20In%20My%20Fridge%20-%20Visionquest%20Remix.mp3
Three,Acid Land,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acid%20Land.mp3
Three,Acid Riot,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acid%20Riot.mp3
Three,Acid Thought,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acid%20Thought.mp3
Three,Acido,file://localhost/Users/ale/Projects/AIDJ/NewAll/Acido.mp3
Three,Act of Giving,file://localhost/Users/ale/Projects/AIDJ/NewAll/Act%20of%20Giving.mp3
Three,Adipeux,file://localhost/Users/ale/Projects/AIDJ/NewAll/Adipeux.mp3
Three,Ae86,file://localhost/Users/ale/Projects/AIDJ/NewAll/Ae86.mp3
Three,Affluent,file://localhost/Users/ale/Projects/AIDJ/NewAll/Affluent.mp3
Three,After Images,file://localhost/Users/ale/Projects/AIDJ/NewAll/After%20Images.mp3
Three,After the Nights,file://localhost/Users/ale/Projects/AIDJ/NewAll/After%20the%20Nights.mp3
Three,Ahonui,file://localhost/Users/ale/Projects/AIDJ/NewAll/Ahonui.mp3
Three,01 Dahaw & Café - Te Quiero,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/Dahaw%20%26%20Caf%c3%a9%20-%20-NB007-%20Palmares%20EP%20-%2001%2001%20.aiff
Three,B2. This is my house (Main Phase remix),file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/B%20FROM%20E%20-%20BISPEBJERG%20EP%20-%2004%20B2.%20This%20is%20m.aiff
Three,Back 2 Back,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/6th%20Borough%20Project%20-%20Borough%202%20Borough%20-11.aiff
Three,Cherry,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/Baba%20Stiltz%20-%20Cherry%20EP%20-%2001%20Cherry.aiff
Three,An english '93,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/International%20Music%20System%20-%20An%20english%20%2793.aiff
Three,Atalaya,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/Ditongo%20-%20Atalaya%20-%2001%20Atalaya.aiff
Three,B.U.R.T (The Journey),file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/6th%20Borough%20Project%20-%20One%20Night%20In%20The%20B-10.aiff
Three,4 Track Machine,file://localhost/Users/ale/Projects/AIDJ/NewAll/AIFF/FUNNY%20FUEL%20-%20Pent%20up%20Strut%20-%2004%204%20Track%20Mac.aiff
